Date,Open,High,Low,Close,Adj Close,Volume,Number,return,,,,,,
2017-05-18,63.880001,64.360001,60.959999,62.959999,62.959999,33402800,5,#VALUE!,,,,,,
2017-05-22,56.880001,56.919998,55.560001,55.919998,55.919998,14955000,2,-0.111817044,0,0.888182956,,,,
2017-05-25,54.32,55.279999,54,54.799999,54.799999,13003000,5,1,,,,,,
2017-06-01,53.360001,53.52,52.68,52.720001,52.720001,11718100,5,1,,,,,,
2017-06-05,53.119999,53.16,52,53.119999,53.119999,8925600,2,0.007587215,1,1.007587215,,,,
2017-06-08,53.68,53.68,52.119999,52.52,52.52,13564900,5,1,,,,,,
2017-06-12,53.919998,55.279999,53.639999,53.84,53.84,20392400,2,0.025133283,1,1.025133283,,,,
2017-06-15,53.759998,53.919998,51.880001,52.360001,52.360001,18733000,5,1,,,,,,
2017-06-19,51,51.040001,50,50.32,50.32,14076200,2,-0.038961057,0,0.961038943,,,,
2017-06-22,51.040001,51.400002,50.360001,50.639999,50.639999,11232700,5,1,,,,,,
2017-06-26,49.52,50,49,49.080002,49.080002,12640200,2,-0.030805629,0,0.969194371,,,,
2017-06-29,49.360001,56.639999,49.32,51.720001,51.720001,47608900,5,1,,,,,,
2017-07-03,50.200001,51.759998,49.880001,51.599998,51.599998,9348300,2,-0.002320244,0,0.997679756,,,,
2017-07-06,52.68,54.720001,52.360001,54.279999,54.279999,25536700,5,1,,,,,,
2017-07-10,52.360001,52.439999,50.639999,51.040001,51.040001,11886500,2,-0.059690458,0,0.940309542,,,,
2017-07-13,49.439999,49.52,48.799999,48.919998,48.919998,11799300,5,1,,,,,,
2017-07-17,47.16,47.32,46.639999,46.799999,46.799999,12772800,2,-0.04333604,0,0.95666396,,,,
2017-07-20,45.360001,46.200001,45.240002,45.360001,45.360001,13632400,5,1,,,,,,
2017-07-24,44.759998,44.799999,43.919998,44.040001,44.040001,9191200,2,-0.029100528,0,0.970899472,,,,
2017-07-27,43.959999,47.200001,43.959999,44.68,44.68,29378900,5,1,,,,,,
2017-07-31,44.52,45.360001,44.439999,44.919998,44.919998,10635300,2,0.005371486,1,1.005371486,,,,
2017-08-03,44.599998,45.240002,44.52,45.080002,45.080002,11138900,5,1,,,,,,
2017-08-07,44.799999,44.919998,44.32,44.360001,44.360001,5759400,2,-0.015971628,0,0.984028372,,,,
2017-08-10,48,53.400002,47.959999,53.16,53.16,63297100,5,1,,,,,,
2017-08-14,50.48,50.52,47.52,47.68,47.68,20439500,2,-0.103085026,0,0.896914974,,,,
2017-08-17,48.119999,54.84,47.52,54.639999,54.639999,68611200,5,1,,,,,,
2017-08-21,52.799999,53.959999,50.919998,51.080002,51.080002,27145100,2,-0.06515368,0,0.93484632,,,,
2017-08-24,47.509998,50.110001,47.240002,49.049999,49.049999,48871500,5,1,,,,,,
2017-08-28,47.080002,48.259998,47.049999,47.299999,47.299999,31794700,2,-0.03567788,0,0.96432212,,,,
2017-08-31,47.279999,47.419998,46.200001,46.32,46.32,30522200,5,1,,,,,,
2017-09-07,47.52,48.32,47,47.360001,47.360001,33275300,5,1,,,,,,
2017-09-11,46.740002,46.75,45.470001,45.790001,45.790001,30013800,2,-0.033150337,0,0.966849663,,,,
2017-09-14,43.560001,43.709999,42.959999,43.599998,43.599998,24206800,5,1,,,,,,
2017-09-18,42.25,42.25,40.619999,41,41,29548300,2,-0.059632984,0,0.940367016,,,,
2017-09-21,40.869999,41.48,40.740002,40.959999,40.959999,25303800,5,1,,,,,,
2017-09-25,41.34,42.540001,40.790001,41.279999,41.279999,36301300,2,0.0078125,1,1.0078125,,,,
2017-09-28,40.689999,40.740002,39.900002,39.91,39.91,19354700,5,1,,,,,,
2017-10-02,38.959999,38.98,38.060001,38.389999,38.389999,25749000,2,-0.038085718,0,0.961914282,,,,
2017-10-05,38.07,38.130001,37.009998,37.07,37.07,29780500,5,1,,,,,,
2017-10-09,36.950001,38.240002,36.889999,37.889999,37.889999,19764800,2,0.022120286,1,1.022120286,,,,
2017-10-12,36.299999,36.630001,35.630001,35.970001,35.970001,25672000,5,1,,,,,,
2017-10-16,35.029999,35.259998,34.700001,34.700001,34.700001,21134500,2,-0.035307199,0,0.964692801,,,,
2017-10-19,35.82,36.189999,34.349998,34.389999,34.389999,41601200,5,1,,,,,,
2017-10-23,33.57,35.240002,33.540001,34.849998,34.849998,35102400,2,0.013375953,1,1.013375953,,,,
2017-10-26,35.849998,36.299999,35.369999,36.259998,36.259998,38327300,5,1,,,,,,
2017-10-30,35.349998,35.380001,33.91,34.48,34.48,43192800,2,-0.049089854,0,0.950910146,,,,
2017-11-02,34.09,35.110001,33.650002,33.709999,33.709999,37091000,5,1,,,,,,
2017-11-06,33.580002,33.639999,33.290001,33.34,33.34,18838100,2,-0.010975942,0,0.989024058,,,,
2017-11-09,34.849998,35.91,33.950001,34,34,71108100,5,1,,,,,,
2017-11-13,35.419998,35.439999,34.34,34.900002,34.900002,27441200,2,0.026470647,1,1.026470647,,,,
2017-11-16,35.27,35.299999,34.59,35.009998,35.009998,38067900,5,1,,,,,,
2017-11-20,33.959999,34.09,33.310001,33.360001,33.360001,31338400,2,-0.047129309,0,0.952870691,,,,
2017-11-27,31.74,31.98,31.42,31.629999,31.629999,21851200,2,-0.051858572,0,0.948141428,,,,
2017-11-30,31.35,32.349998,31.280001,31.969999,31.969999,43852400,5,1,,,,,,
2017-12-04,31.360001,32.610001,31.129999,32.59,32.59,55441700,2,0.019393213,1,1.019393213,,,,
2017-12-07,32.400002,32.490002,31.25,31.360001,31.360001,27903700,5,1,,,,,,
2017-12-11,29.48,30.27,29.280001,29.290001,29.290001,26043800,2,-0.066007651,0,0.933992349,,,,
2017-12-14,29.15,29.639999,28.98,29.120001,29.120001,37023000,5,1,,,,,,
2017-12-18,27.790001,27.98,27.49,27.780001,27.780001,33125000,2,-0.046016482,0,0.953983518,,,,
2017-12-21,27.68,28,27.530001,27.6,27.6,26054800,5,1,,,,,,
2017-12-28,27.77,27.799999,27.459999,27.469999,27.469999,17911300,5,1,,,,,,
2018-01-04,26.120001,26.41,26.01,26.32,26.32,21857600,5,1,,,,,,
2018-01-08,26.24,26.370001,25.76,25.98,25.98,18274700,2,-0.012917933,0,0.987082067,,,,
2018-01-11,25.74,25.93,25.59,25.84,25.84,24377500,5,1,,,,,,
2018-01-18,27.290001,27.85,26.52,26.959999,26.959999,57825900,5,1,,,,,,
2018-01-22,27.030001,27.049999,26.049999,26.25,26.25,35435800,2,-0.026335275,0,0.973664725,,,,
2018-01-25,27.27,28.309999,27.23,27.82,27.82,48456500,5,1,,,,,,
2018-01-29,28.299999,29.73,27.58,29.65,29.65,64286700,2,0.065780014,1,1.065780014,,,,
2018-02-01,30.129999,30.459999,28.049999,29.01,29.01,70079300,5,1,,,,,,
2018-02-05,34.639999,44.599998,32.259998,43.939999,43.939999,221395500,2,0.514650086,1,1.514650086,,,,
2018-02-08,44.889999,55.330002,44.75,55.240002,55.240002,85093300,5,1,,,,,,
2018-02-12,48.360001,50.689999,47.150002,47.950001,47.950001,46504900,2,-0.131969601,0,0.868030399,,,,
2018-02-15,40.889999,43.169998,40.790001,41.540001,41.540001,28927100,5,1,,,,,,
2018-02-22,43.139999,44.709999,42.599998,43.82,43.82,35319300,5,1,,,,,,
2018-02-26,39.369999,39.950001,38.639999,38.75,38.75,25510200,2,-0.115700593,0,0.884299407,,,,
2018-03-01,44.25,49.369999,43.799999,47.279999,47.279999,64987400,5,1,,,,,,
2018-03-05,46.209999,46.299999,43,43.32,43.32,36363100,2,-0.083756326,0,0.916243674,,,,
2018-03-08,42.560001,43.040001,41.5,41.5,41.5,29776600,5,1,,,,,,
2018-03-12,39,40.290001,38.619999,39.880001,39.880001,26014700,2,-0.03903612,0,0.96096388,,,,
2018-03-15,41.009998,41.950001,39.84,40.169998,40.169998,30810800,5,1,,,,,,
2018-03-19,40.34,45.27,40.330002,43.349998,43.349998,58137200,2,0.079163559,1,1.079163559,,,,
2018-03-22,44.450001,47.830002,43.32,47.470001,47.470001,66454800,5,1,,,,,,
2018-03-26,46.549999,49.470001,46.130001,46.130001,46.130001,35096800,2,-0.028228354,0,0.971771646,,,,
2018-03-29,49.66,50.27,47.040001,47.310001,47.310001,34171600,5,1,,,,,,
2018-04-02,48.68,53.82,48.200001,51.84,51.84,52925600,2,0.095751404,1,1.095751404,,,,
2018-04-05,48.009998,48.689999,46.709999,46.959999,46.959999,28495500,5,1,,,,,,
2018-04-09,49.009998,50.189999,48.299999,49.919998,49.919998,28839300,2,0.063032348,1,1.063032348,,,,
2018-04-12,48.110001,48.299999,46.66,47.009998,47.009998,30113800,5,1,,,,,,
2018-04-16,44.27,44.330002,42.779999,43.029999,43.029999,29232300,2,-0.08466282,0,0.91533718,,,,
2018-04-19,41.599998,42.619999,40.740002,41.189999,41.189999,30409400,5,1,,,,,,
2018-04-23,41.869999,42.880001,40.93,41.939999,41.939999,29352100,2,0.018208303,1,1.018208303,,,,
2018-04-26,43.389999,43.939999,41.880001,42.32,42.32,28847300,5,1,,,,,,
2018-04-30,41.060001,41.790001,40.310001,41.57,41.57,30796500,2,-0.017722117,0,0.982277883,,,,
2018-05-03,41.5,43.970001,41.060001,41.48,41.48,47818400,5,1,,,,,,
2018-05-07,39.959999,40.369999,39.509998,39.900002,39.900002,21613400,2,-0.038090598,0,0.961909402,,,,
2018-05-10,37.900002,37.93,36.16,36.439999,36.439999,24669200,5,1,,,,,,
2018-05-14,35.43,35.509998,34.509998,34.689999,34.689999,26238900,2,-0.048024151,0,0.951975849,,,,
2018-05-17,35.650002,36.130001,34.77,34.869999,34.869999,30091200,5,1,,,,,,
2018-05-21,34.049999,34.610001,33.470001,34.23,34.23,27789600,2,-0.018353858,0,0.981646142,,,,
2018-05-24,34.639999,35.490002,34.18,34.18,34.18,6800,5,1,,,,,,
2018-05-31,36.950001,37.32,36.459999,36.939999,36.939999,3800,5,1,,,,,,
2018-06-04,35.130001,35.130001,35.130001,35.130001,35.130001,200,2,-0.048998323,0,0.951001677,,,,
2018-06-07,32.23,33.639999,32.23,32.82,32.82,12000,5,1,,,,,,
2018-06-11,32.700001,32.700001,32,32.080002,32.080002,4700,2,-0.022547166,0,0.977452834,,,,
2018-06-14,31.6,31.6,31.219999,31.271999,31.271999,2700,5,1,,,,,,
2018-06-18,32.59,32.59,31.219999,31.249001,31.249001,17500,2,-0.000735418,0,0.999264582,,,,
2018-06-21,32.279999,34.700001,32.279999,34.209999,34.209999,37400,5,1,,,,,,
2018-06-25,35.259998,39.049999,35.259998,38.099998,38.099998,105000,2,0.113709416,1,1.113709416,,,,
2018-06-28,39.740002,39.779999,39.110001,39.200001,39.200001,2000,5,1,,,,,,
2018-07-02,39.099998,39.099998,37.740002,37.740002,37.740002,3100,2,-0.037244871,0,0.962755129,,,,
2018-07-05,36.16,36.16,36.16,36.16,36.16,200,5,1,,,,,,
2018-07-09,33,33,32.470001,32.48,32.48,56300,2,-0.101769912,0,0.898230088,,,,
2018-07-12,32.439999,32.439999,32,32,32,2700,5,1,,,,,,
2018-07-16,31.219999,31.655001,31.120001,31.24,31.24,27900,2,-0.02375,0,0.97625,,,,
2018-07-19,31.200001,31.370001,31.120001,31.200001,31.200001,2500,5,1,,,,,,
2018-07-23,31.139999,31.6,31.139999,31.559999,31.559999,3500,2,0.011538397,1,1.011538397,,,,
2018-07-26,30.440001,30.540001,30.440001,30.540001,30.540001,6000,5,1,,,,,,
2018-07-30,31.16,32.130001,31.16,32.130001,32.130001,3700,2,0.052062867,1,1.052062867,,,,
2018-08-02,32.048,32.048,30.68,30.68,30.68,1000,5,1,,,,,,
2018-08-06,30.139999,30.139999,29.268,29.268,29.268,26200,2,-0.046023468,0,0.953976532,,,,
2018-08-09,27.950001,28.549999,27.860001,28.530001,28.530001,13600,5,1,,,,,,
2018-08-13,30.280001,31.76,29.34,31.700001,31.700001,43800,2,0.111111107,1,1.111111107,,,,
2018-08-16,30.780001,30.780001,29.879999,30.23,30.23,32200,5,1,,,,,,
2018-08-20,28.879999,28.98,28.719999,28.879999,28.879999,4500,2,-0.044657658,0,0.955342342,,,,
2018-08-23,28.98,29.18,28.639999,29.030001,29.030001,5000,5,1,,,,,,
2018-08-27,28.657,28.9,28.620001,28.9,28.9,6100,2,-0.00447816,0,0.99552184,,,,
2018-08-30,28.959999,29.625999,28.940001,29.51,29.51,2600,5,1,,,,,,
2018-09-06,30.219999,30.93,29.92,30.360001,30.360001,49000,5,1,,,,,,
2018-09-10,30.309999,30.309999,29.780001,29.98,29.98,9900,2,-0.012516502,0,0.987483498,,,,
2018-09-13,28.139999,28.139999,27.940001,27.940001,27.940001,2700,5,1,,,,,,
2018-09-17,27.34,28.200001,27.26,28.200001,28.200001,38200,2,0.009305655,1,1.009305655,,,,
2018-09-20,26.68,26.76,26.440001,26.639999,26.639999,21800,5,1,,,,,,
2018-09-24,26.799999,27.24,26.66,26.67,26.67,3600,2,0.001126164,1,1.001126164,,,,
2018-09-27,26.860001,26.860001,26.74,26.74,26.74,28300,5,1,,,,,,
2018-10-01,26,26.639999,25.940001,26.4,26.4,4600,2,-0.012715034,0,0.987284966,,,,
2018-10-04,26.860001,28.799999,26.68,27.799999,27.799999,18600,5,1,,,,,,
2018-10-08,29.190001,30.440001,28.552999,28.639999,28.639999,22500,2,0.030215828,1,1.030215828,,,,
2018-10-11,33.580002,38.400002,32.759998,36.860001,36.860001,97100,5,1,,,,,,
2018-10-15,34.801998,35.639999,33.84,34.27,34.27,23900,2,-0.070265896,0,0.929734104,,,,
2018-10-18,33.23,35.689999,32.900002,34.849998,34.849998,14400,5,1,,,,,,
2018-10-22,34.049999,35.98,34.049999,34.580002,34.580002,18500,2,-0.007747375,0,0.992252625,,,,
2018-10-25,38.299999,39.27,37.110001,37.860001,37.860001,44000,5,1,,,,,,
2018-10-29,38.48,42.139999,38.049999,40.34,40.34,46100,2,0.065504462,1,1.065504462,,,,
2018-11-01,37.830002,38.27,36.34,36.369999,36.369999,40900,5,1,,,,,,
2018-11-05,36.759998,36.889999,36.049999,36.310001,36.310001,9100,2,-0.001649656,0,0.998350344,,,,
2018-11-08,32.380001,32.792,31.709999,32.5,32.5,10300,5,1,,,,,,
2018-11-12,33.669998,36.200001,33.669998,36.060001,36.060001,61100,2,0.109538492,1,1.109538492,,,,
2018-11-15,37.93,38.75,36.73,36.880001,36.880001,37100,5,1,,,,,,
2018-11-19,35.220001,37.450001,35.099998,37.25,37.25,68300,2,0.010032511,1,1.010032511,,,,
2018-11-26,37.880001,37.880001,36.529999,36.549999,36.549999,22900,2,-0.018791973,0,0.981208027,,,,
2018-11-29,35.369999,36.529999,34.959999,35.470001,35.470001,30100,5,1,,,,,,
2018-12-03,32,32.950001,31.83,32.599998,32.599998,3035600,2,-0.08091353,0,0.91908647,,,,
2018-12-06,39.77,41.619999,37.560001,37.790001,37.790001,297900,5,1,,,,,,
2018-12-10,40.380001,42.299999,39.689999,39.93,39.93,100400,2,0.05662871,1,1.05662871,,,,
2018-12-13,39.099998,39.900002,38.59,39.009998,39.009998,1107400,5,1,,,,,,
2018-12-17,40.98,43.41,40.380001,42.59,42.59,3723400,2,0.091771397,1,1.091771397,,,,
2018-12-20,43.75,46.150002,43.02,44.810001,44.810001,212600,5,1,,,,,,
2018-12-24,47.709999,49.459999,47.43,49.43,49.43,433600,2,0.103101962,1,1.103101962,,,,
2018-12-27,49.689999,51.98,48.41,48.790001,48.790001,1014900,5,1,,,,,,
2018-12-31,47.48,48.049999,46.889999,46.990002,46.990002,807600,2,-0.036892785,0,0.963107215,,,,
2019-01-03,46.599998,48.66,46.290001,47.639999,47.639999,1019900,5,1,,,,,,
2019-01-07,43.529999,44.141998,42.349998,42.880001,42.880001,2563500,2,-0.099915997,0,0.900084003,,,,
2019-01-10,41.75,42.279999,40.59,40.59,40.59,1811900,5,1,,,,,,
2019-01-14,40.400002,40.41,38.830002,39.380001,39.380001,1186900,2,-0.029810273,0,0.970189727,,,,
2019-01-17,38.700001,38.709999,37.419998,38,38,2495300,5,1,,,,,,
2019-01-24,40.150002,40.639999,38.150002,38.68,38.68,7312600,5,1,,,,,,
2019-01-28,38.59,39.990002,38.549999,38.77,38.77,19863500,2,0.002326784,1,1.002326784,,,,
2019-01-31,36.900002,36.919998,35.43,35.43,35.43,22093500,5,1,,,,,,
2019-02-04,34.93,35.16,33.84,34,34,18481800,2,-0.040361276,0,0.959638724,,,,
2019-02-07,34.549999,36.009998,34.02,34.650002,34.650002,29786500,5,1,,,,,,
2019-02-11,33.77,34.380001,33.52,33.860001,33.860001,13598500,2,-0.02279945,0,0.97720055,,,,
2019-02-14,33.93,34.540001,33.130001,33.77,33.77,26329900,5,1,,,,,,
2019-02-21,31.52,32.285,30.966999,31.790001,31.790001,23697800,5,1,,,,,,
2019-02-25,29.9,31.17,29.559999,31.139999,31.139999,20440400,2,-0.020446744,0,0.979553256,,,,
2019-02-28,31.450001,31.559999,30.799999,31.41,31.41,15130400,5,1,,,,,,
2019-03-04,29.639999,32.299999,29.27,30.709999,30.709999,44720200,2,-0.022285928,0,0.977714072,,,,
2019-03-07,32.18,33.650002,32.119999,33.009998,33.009998,39674100,5,1,,,,,,
2019-03-11,32.610001,32.610001,30.700001,30.809999,30.809999,26646200,2,-0.066646445,0,0.933353555,,,,
2019-03-14,29.65,29.704,29.040001,29.129999,29.129999,19738100,5,1,,,,,,
2019-03-18,28.809999,29.26,28.41,28.66,28.66,21265700,2,-0.016134535,0,0.983865465,,,,
2019-03-21,29.59,29.59,28.452,28.780001,28.780001,24321700,5,1,,,,,,
2019-03-25,32.139999,33,31.440001,32.240002,32.240002,44724400,2,0.120222407,1,1.120222407,,,,
2019-03-28,30.68,31.09,30.105,30.190001,30.190001,26202400,5,1,,,,,,
2019-04-01,28.969999,29.18,28.639999,28.74,28.74,21737300,2,-0.04802918,0,0.95197082,,,,
2019-04-04,28.700001,29.059999,28.360001,28.57,28.57,18960500,5,1,,,,,,
2019-04-08,28.07,28.280001,27.805,27.870001,27.870001,18316100,2,-0.02450119,0,0.97549881,,,,
2019-04-11,27.67,27.870001,27.41,27.5,27.5,19308100,5,1,,,,,,
2019-04-15,25.870001,26.959999,25.799999,25.92,25.92,25729500,2,-0.057454545,0,0.942545455,,,,
2019-04-18,25.799999,26.32,25.43,25.48,25.48,25767700,5,1,,,,,,
2019-04-22,25.75,25.959999,25.23,25.25,25.25,15260300,2,-0.009026688,0,0.990973312,,,,
2019-04-25,25.92,26.934999,25.639999,26.200001,26.200001,28389600,5,1,,,,,,
2019-04-29,25.450001,25.700001,25.235001,25.68,25.68,15286000,2,-0.019847366,0,0.980152634,,,,
2019-05-02,26.65,27.74,26.26,26.690001,26.690001,23935700,5,1,,,,,,
2019-05-06,27.959999,28.219999,26.66,26.860001,26.860001,43610300,2,0.006369427,1,1.006369427,,,,
2019-05-09,32.400002,33.290001,30.459999,30.549999,30.549999,60451000,5,1,,,,,,
2019-05-13,31.67,32.59,30.82,32.450001,32.450001,60055200,2,0.062193194,1,1.062193194,31,0.329787234,0.372068363,-0.131969601